"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","ratchets the QE critical runtime, provider, deploy, promotion, and Postman files","Unit | Jest Lane Configs","2026-07-15","passed","2026-07-15","","","",""
"","4","allows protected endpoints through when auth is explicitly disabled","Integration | API","2026-07-15","passed","2026-07-15","","API access control","",""
"","2","defines the mocked provider scopes used by the full local suite","Unit | Scripts | Postman | Local Provider Mocks","2026-07-15","passed","2026-07-15","","","",""
"","0","classifies isolated image-source failures as skippable","Unit | Providers | Adapter Contract Matrix","2026-07-15","passed","2026-07-15","","together provider adapter contract","",""
"","15","creates the request logger from the app logger child with standard serializers","Unit | Infrastructure | Logger","2026-07-15","passed","2026-07-15","","","",""
"","2","fails (exit 1) when the working tree drops a path from the baseline","Unit | Scripts | OpenAPI | Contract Diff","2026-07-15","passed","2026-07-15","","main","",""
"","1","accepts a server-agnostic base artifact","Unit | Scripts | OpenAPI | Validate Spec","2026-07-15","passed","2026-07-15","","validateNoServers","",""
"","2","gates pushes and pull requests on main and production plus manual replays","Unit | Scripts | GitHub | Dependency Review Workflow","2026-07-15","passed","2026-07-15","","","",""
"","1","normalizes successful image descriptions","Unit | Providers | Adapter Contract Matrix","2026-07-15","passed","2026-07-15","","together provider adapter contract","",""
"","1","returns vulnerability counts from a valid npm audit report","Unit | Scripts | GitHub | Parse Security Audit Report","2026-07-15","passed","2026-07-15","","parseSecurityAuditReport","",""
"","2","refuses to write a non-ZIP payload","Unit | Allure History Artifact Restore","2026-07-15","passed","2026-07-15","","downloadArtifactArchive","",""
"","1","rejects an unknown explicit target","Unit | Scripts | Render | Rollback Render Service","2026-07-15","passed","2026-07-15","","selectRollbackDeploy","",""
"","4","logs start and completion details when the Newman command succeeds","Unit | Scripts | Postman | Newman Runner","2026-07-15","passed","2026-07-15","","","",""
"","1","maps together to the shared neutral folder with production env vars","Unit | Scripts | Postman | Provider Validation Scope","2026-07-15","passed","2026-07-15","","getSelectedProviderPlans","",""
"","97","accepts an Ollama-only provider configuration","Unit | Utils | Validate Env Vars","2026-07-15","passed","2026-07-15","","","",""
"","0","applies overrides before invoking the loader","Unit | Test Setup | testEnv helpers","2026-07-15","passed","2026-07-15","","loadFreshModule","",""
"","5","returns a completed async page-description job response","Integration | API","2026-07-15","passed","2026-07-15","","GET /api/accessibility/page-description-jobs/:jobId","",""
"","2","normalizes unexpected errors into a generic internal response","Unit | Middleware | Error Handler","2026-07-15","passed","2026-07-15","","","",""
"","2","returns a pending job response for async-capable page providers","Unit | Controllers | Description Controller","2026-07-15","passed","2026-07-15","","DescriptionController.describePage","",""
"","2","surfaces GitHub API failures","Unit | Scripts | GitHub | Review Dependencies","2026-07-15","passed","2026-07-15","","fetchGitHubJson","",""
"","2","normalizes content types without charset noise","Unit | Scripts | Postman | Provider Validation Fixture Probe","2026-07-15","passed","2026-07-15","","","",""
"","1","rejects protected requests with an invalid configured header token","Unit | Middleware | Access Control","2026-07-15","passed","2026-07-15","","","",""
"","10","rejects invalid states","Unit | Scripts | GitHub | Update Deployment Status","2026-07-15","passed","2026-07-15","","parseArgs","",""
"","1","converts the 404 fallback into a not-found ApiError","Unit | Middleware | Error Handler","2026-07-15","passed","2026-07-15","","","",""
"","1","classifies isolated image-source failures as skippable","Unit | Providers | Adapter Contract Matrix","2026-07-15","passed","2026-07-15","","openai provider adapter contract","",""
"","24","Describe fixture image A","alt-text-generator API Contract Harness","2026-07-15","passed","2026-07-15","","20 Single Description (Azure Stub)","",""
"","10","rejects unsupported and incomplete arguments","Unit | Scripts | GitHub | Parse Security Audit Report","2026-07-15","passed","2026-07-15","","parseArgs","",""
"","1","treats blank deploy validation tokens as missing when auth is enabled","Unit | Scripts | Run Postman Deploy","2026-07-15","passed","2026-07-15","","resolveProductionDeployAuthConfig","",""
"","1","requires both azure endpoint and credential","Unit | Scripts | Postman | Provider Validation Scope","2026-07-15","passed","2026-07-15","","detectAvailableProviders","",""
"","24","returns 202 and eventually exposes a terminal failed page job when a replicate image job fails","Integration | Async Page Description Jobs","2026-07-15","passed","2026-07-15","","","",""
"","11","propagates non-skippable provider failures","Unit | Providers | Adapter Contract Matrix","2026-07-15","passed","2026-07-15","","replicate provider adapter contract","",""
"","1","surfaces non-fatal startup warnings for partial azure configuration","Unit | Config | Provider Catalog","2026-07-15","passed","2026-07-15","","","",""
"","6","excludes Redis-suffixed specs from the general integration lane","Unit | Jest Lane Configs","2026-07-15","passed","2026-07-15","","","",""
"","2","validates redirect targets before following them","Unit | Services | Scraper Service","2026-07-15","passed","2026-07-15","","ScraperService.getImages","",""
"","72","logs a warning and ignores Azure when its config is partial","Unit | Utils | Validate Env Vars","2026-07-15","passed","2026-07-15","","","",""
"","1","flags a $ref that does not resolve","Unit | Scripts | OpenAPI | Validate Spec","2026-07-15","passed","2026-07-15","","validateRefs","",""
"","3","wraps store operations so request-time store errors fail open","Unit | Infrastructure | Rate Limit Store","2026-07-15","passed","2026-07-15","","","",""
"","1","prefers azure in auto mode when both providers are available","Unit | Scripts | Postman | Provider Validation Scope","2026-07-15","passed","2026-07-15","","resolveProviderScope","",""
"","1","keeps least-privilege permissions with security-events write only","Unit | Scripts | GitHub | CodeQL Workflow","2026-07-15","passed","2026-07-15","","","",""
"","2","normalizes the bare /api/ route with a relative redirect","Unit | Middleware | Request Filter","2026-07-15","passed","2026-07-15","","","",""
"","4","claims in-memory jobs when the lease is free or expired","Unit | Infrastructure | Description Job Store","2026-07-15","passed","2026-07-15","","","",""
